timestamp,setup_idx,setup_name,scenario,cup_state,driptray_state,power_label,power_mW,sub,sub_layout,window_s,total_sweeps,cup1_ant1_reads,cup1_ant1_avg_rssi,cup1_ant2_reads,cup1_ant2_avg_rssi,cup2_ant1_reads,cup2_ant1_avg_rssi,cup2_ant2_reads,cup2_ant2_avg_rssi,misreads,overlaps,interrupted,verdict,cup1_epc,cup2_epc,notes
2026-05-20T11:45:59,1,Metal Casings,I,Full,Full,High,316,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-56.71,0,,0,,50,-67.28,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,fidigited with the mugs
2026-05-20T11:46:33,1,Metal Casings,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,77,77,-57.5,0,,0,,70,-67.79,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,the mugs were left inside before the test begain
2026-05-20T11:47:14,1,Metal Casings,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,79,69,-53.11,0,,0,,1,-69.0,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T11:48:15,1,Metal Casings,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,79,79,-58.69,0,,0,,18,-67.33,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T11:48:53,1,Metal Casings,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,80,42,-61.56,0,,0,,7,-65.81,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T11:50:54,1,Metal Casings,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,80,63,-60.92,2,-67.65,0,,0,,2,2,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,one does not scan while the other gives a consitetnt read
2026-05-20T11:52:00,1,Metal Casings,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,80,40,-66.1,0,,0,,3,-66.3,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T11:52:57,1,Metal Casings,G,Full,Empty,High,316,1,"Drip tray empty, cup full (liquid in cup). Cup 1 on Ant1, Cup 2 on Ant2.",15,79,0,,0,,0,,38,-67.87,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,seems like beer doesnty get scanned properly
2026-05-20T12:50:28,1,Metal Casings,C,Full,Full,Low,30,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T12:51:13,1,Metal Casings,F,Full,Full,Medium,170,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,no scans with medium power
2026-05-20T12:51:51,1,Metal Casings,I,Full,Full,High,316,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,no scans at even max power
2026-05-20T12:53:10,1,Metal Casings,I,Full,Full,High,316,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,tried fidigiting the mugs inside no scans at all
2026-05-20T12:54:49,1,Metal Casings,I,Full,Full,High,316,3,"Drip tray full, cup full (liquid in both).  Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T12:55:55,1,Metal Casings,B,Empty,Full,Low,30,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T13:01:40,1,Metal Casings,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,when there is water in the trays with the metal around the trays it does not scan
2026-05-20T13:03:26,1,Metal Casings,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,81,0,,0,,0,,0,,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,yes that is confirmed
2026-05-20T13:17:07,1,Metal Casings,L,Empty,Empty,High,316,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,80,32,-60.53,0,,0,,2,-60.85,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T13:17:36,1,Metal Casings,L,Empty,Empty,High,316,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,80,37,-59.22,0,,0,,11,-62.8,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T13:18:33,1,Metal Casings,L,Empty,Empty,High,316,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,81,1,-61.3,0,,0,,2,-65.8,0,0,no,WEAK,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
